"date","manner_of_death","armed","age","gender","race","state","signs_of_mental_illness","threat_level","flee","body_camera","longitude","latitude","year"
2020-06-25,"shot","unarmed",34,"M",1,"OK","False","undetermined","Not fleeing","False",-95.151,36.622,"2020"
2020-06-25,"shot","gun",37,"M",0,"GA","False","attack","Other","False",-84.446,33.9,"2020"
2020-06-25,"shot","gun",26,"M",1,"VA","False","attack","Foot","True",-79.995,37.292,"2020"
2020-06-26,"shot","gun",27,"M",0,"FL","False","attack","Not fleeing","False",-81.776,28.061,"2020"
2020-06-26,"shot","gun",30,"M",0,"NV","False","attack","Foot","True",-115.754,40.836,"2020"
2020-06-26,"shot","gun",38,"M",0,"IN","False","attack","Car","False",-85.459,40.321,"2020"
2020-06-27,"shot","gun",40,"F",0,"FL","False","attack","Foot","False",-82.72,28.272,"2020"
2020-06-27,"shot","gun",25,"M",0,"CA","False","attack","Foot","True",-117.159,32.718,"2020"
2020-06-27,"shot","gun",31,"M",0,"CA","False","attack","Not fleeing","False",-122.191,40.108,"2020"
2020-06-27,"shot and Tasered","knife",58,"M",1,"AR","False","attack","Other","False",-92.237,34.721,"2020"
2020-06-28,"shot","gun",68,"M",0,"OH","True","attack","Not fleeing","False",-84.143,39.718,"2020"
2020-06-29,"shot","gun",57,"M",0,"KY","False","attack","Car","False",-88.653,37.061,"2020"
2020-06-29,"shot","gun",48,"M",0,"PA","False","attack","Car","False",-75.979,40.95,"2020"
2020-06-30,"shot","gun",30,"M",0,"MO","False","attack","Car","False",-94.418,39.249,"2020"
2020-07-01,"shot","gun",34,"M",0,"CO","False","attack","Not fleeing","False",-107.876,37.29,"2020"
2020-07-02,"shot","gun",31,"M",1,"MO","True","attack","Foot","False",-94.521,39.069,"2020"
2020-07-02,"shot and Tasered","knife",32,"M",1,"WI","True","other","Not fleeing","True",-87.725,43.744,"2020"
2020-07-03,"shot","gun",58,"M",0,"OR","True","attack","Not fleeing","False",-121.998,45.359,"2020"
2020-07-04,"shot","undetermined",28,"M",0,"AZ","False","undetermined","Not fleeing","True",-112.208,33.495,"2020"
2020-07-04,"shot","machete",17,"M",0,"FL","True","other","Not fleeing","True",-81.815,30.255,"2020"
2020-07-05,"shot","gun",34,"M",0,"CA","False","attack","Foot","False",-117.731,34.023,"2020"
2020-07-05,"shot","gun",70,"M",0,"AZ","True","attack","Not fleeing","False",-111.719,33.423,"2020"
2020-07-07,"shot","gun",62,"M",0,"TN","False","attack","Not fleeing","False",-84.518,35.323,"2020"
2020-07-07,"shot","vehicle",36,"M",0,"CA","False","attack","Not fleeing","False",-119.776,36.736,"2020"
2020-07-08,"shot","knife",37,"M",0,"MS","True","other","Not fleeing","False",-88.519,30.359,"2020"
2020-07-09,"shot","toy weapon",49,"M",1,"CA","True","attack","Not fleeing","True",-117.094,32.756,"2020"
2020-07-10,"shot","gun",60,"M",0,"PA","False","undetermined","Not fleeing","False",-76.684,41.523,"2020"
2020-07-10,"shot","gun",20,"M",1,"MI","False","attack","Not fleeing","True",-83.146,42.417,"2020"
2020-07-10,"shot","gun",31,"M",1,"FL","False","attack","Not fleeing","False",-85.804,30.177,"2020"
2020-07-11,"shot","gun",23,"M",0,"CO","False","attack","Car","False",-104.858,39.123,"2020"
2020-07-11,"shot","gun",26,"M",0,"SC","False","attack","Not fleeing","False",-82.436,34.9,"2020"
2020-07-12,"shot","vehicle",36,"F",0,"OH","False","attack","Car","False",-79.918,40.841,"2020"
2020-07-12,"shot","gun",28,"M",0,"GA","False","attack","Not fleeing","False",-84.293,33.877,"2020"
2020-07-13,"shot","gun",31,"M",0,"MN","False","attack","Not fleeing","True",-93.595,44.796,"2020"
2020-07-14,"shot","knife",43,"M",0,"MI","False","other","Car","True",-84.644,42.683,"2020"
2020-07-14,"shot","gun",17,"M",1,"GA","False","attack","Other","False",-84.561,33.775,"2020"
2020-07-14,"shot","gun",32,"M",0,"TN","False","attack","Car","False",-83.926,35.97,"2020"
2020-07-14,"shot","gun",28,"M",0,"NM","False","attack","Foot","False",-107.745,32.261,"2020"
2020-07-14,"shot","toy weapon",24,"M",0,"NJ","True","attack","Not fleeing","False",-74.487,40.822,"2020"
2020-07-15,"shot","vehicle",39,"M",1,"CA","False","attack","Not fleeing","False",-121.374,38.048,"2020"
2020-07-15,"shot","gun",22,"M",0,"KY","True","attack","Not fleeing","False",-85.718,38.005,"2020"
2020-07-16,"shot","knife",23,"M",0,"WA","False","other","Foot","False",-122.353,47.756,"2020"
2020-07-16,"shot","gun",60,"M",0,"FL","True","attack","Not fleeing","False",-81.905,26.719,"2020"
2020-07-16,"shot","gun",33,"M",0,"TX","False","attack","Not fleeing","False",-99.812,33.673,"2020"
2020-07-17,"shot","toy weapon",24,"M",1,"TX","False","other","Not fleeing","False",-95.333,29.657,"2020"
2020-07-18,"shot","gun",24,"M",1,"IL","False","attack","Foot","False",-87.623,41.503,"2020"
2020-07-19,"shot","gun",35,"M",1,"IN","False","attack","Not fleeing","False",-86.113,39.822,"2020"
2020-07-20,"shot","gun",51,"M",1,"LA","False","attack","Not fleeing","True",-91.183,30.393,"2020"
2020-07-20,"shot","gun",33,"M",0,"CA","False","attack","Other","False",-116.983,32.646,"2020"
